epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.131,1.30208,8.98661,2.27477,0.62679,0.62535,0.72043,0.55022,1.37377,5.87173,2.51076,0.00046826,0.00046826,0.00046826
2,47.824,1.52183,2.40508,2.29023,0.36973,0.07931,0.02563,0.02249,1.29967,8.67574,2.70796,0.000935242,0.000935242,0.000935242
3,67.732,1.49851,2.17638,2.23385,0.0005,0.31111,0.00102,0.00037,5.17162,8.62307,8.22622,0.00139279,0.00139279,0.00139279
4,87.6499,1.51881,2.1111,2.3217,0.69914,0.14943,0.03821,0.02591,2.1307,10.0508,3.3398,0.00138656,0.00138656,0.00138656
5,107.942,1.46925,1.79725,2.24565,0.62009,0.61708,0.57912,0.50945,0.9651,4.09039,2.04333,0.00137241,0.00137241,0.00137241
6,128.126,1.39103,1.5727,2.22407,0.56649,0.1685,0.2091,0.14961,2.03526,7.12467,3.31813,0.00135826,0.00135826,0.00135826
7,148.602,1.33135,1.53624,2.18278,0.81504,0.60611,0.72563,0.66983,0.85303,3.49519,2.03606,0.00134412,0.00134412,0.00134412
8,169.089,1.32747,1.38444,2.18816,0.72365,0.7867,0.77139,0.71292,0.75449,2.48292,1.87312,0.00132997,0.00132997,0.00132997
9,191.031,1.28749,1.36307,2.16515,0.633,0.49199,0.48921,0.34473,2.40903,3.78627,3.30392,0.00131582,0.00131582,0.00131582
10,212.95,1.19827,1.28877,2.11683,0.90469,0.79142,0.94614,0.87585,0.75216,1.12861,1.91728,0.00130168,0.00130168,0.00130168
11,234.291,1.23614,1.25521,2.12627,0.92308,0.9433,0.9791,0.91689,0.69061,0.57709,1.8452,0.00128753,0.00128753,0.00128753
12,257.735,1.12914,1.216,2.0901,0.82852,0.96609,0.96569,0.90555,0.69254,0.81221,1.87569,0.00127338,0.00127338,0.00127338
13,280.741,1.13002,1.13764,2.09919,0.86114,0.83466,0.89865,0.87308,0.56146,1.28858,1.81096,0.00125923,0.00125923,0.00125923
14,302.949,1.11633,1.16044,2.07774,0.76244,0.73218,0.75305,0.71015,0.55184,1.91305,1.84013,0.00124509,0.00124509,0.00124509
15,326.109,1.09694,1.02753,2.06174,0.98446,0.99839,0.99467,0.94492,0.67329,0.40789,1.83928,0.00123094,0.00123094,0.00123094
16,348.635,1.08125,1.05807,2.06473,0.77651,0.72281,0.86723,0.83308,0.55907,2.07058,1.80219,0.00121679,0.00121679,0.00121679
17,372.278,1.06771,1.02073,2.04492,0.77014,0.87356,0.95847,0.92011,0.61506,1.1892,1.81625,0.00120265,0.00120265,0.00120265
18,395.403,1.04457,1.00405,2.04627,0.94268,0.95239,0.98762,0.95616,0.62008,0.51621,1.82898,0.0011885,0.0011885,0.0011885
19,418.709,1.06683,0.99747,2.05293,0.9141,0.97137,0.98849,0.97095,0.49389,0.5212,1.74957,0.00117435,0.00117435,0.00117435
20,442.355,1.02368,0.93603,2.04668,0.87971,0.88369,0.97327,0.95598,0.49333,0.90022,1.75081,0.00116021,0.00116021,0.00116021
21,464.516,0.99823,0.9252,2.01895,0.96935,0.98166,0.99299,0.97132,0.49816,0.35586,1.73378,0.00114606,0.00114606,0.00114606
22,487.353,1.03674,0.92721,2.05515,0.95831,0.96593,0.99189,0.9548,0.56726,0.43513,1.77618,0.00113191,0.00113191,0.00113191
23,511.437,1.01333,0.90735,2.04407,0.90326,0.98759,0.99356,0.98182,0.45652,0.50901,1.725,0.00111776,0.00111776,0.00111776
24,536.911,0.97738,0.86183,2.03201,0.88641,0.82431,0.94102,0.92142,0.52674,0.9726,1.77225,0.00110362,0.00110362,0.00110362
25,560.933,1.02731,0.87745,2.05781,0.88119,0.90309,0.98308,0.9549,0.55254,0.66262,1.82966,0.00108947,0.00108947,0.00108947
26,585.255,1.01782,0.84925,2.04054,0.88106,0.95766,0.98318,0.96251,0.46627,0.61885,1.75135,0.00107532,0.00107532,0.00107532
27,608.834,0.94929,0.76707,2.00541,0.97705,0.9946,0.995,0.97376,0.4936,0.36736,1.75089,0.00106118,0.00106118,0.00106118
28,633.578,0.96034,0.88162,2.01667,0.9973,0.99226,0.995,0.97307,0.51798,0.28981,1.73817,0.00104703,0.00104703,0.00104703
29,657.175,0.97755,0.85204,2.04029,0.92031,0.87918,0.97149,0.95922,0.39608,0.89944,1.70733,0.00103288,0.00103288,0.00103288
30,681.89,0.96153,0.81699,2.02853,0.99339,0.9853,0.99435,0.97785,0.45026,0.28814,1.73728,0.00101873,0.00101873,0.00101873
31,704.741,0.94972,0.81276,2.00335,0.98839,0.98601,0.99468,0.98619,0.41546,0.29573,1.714,0.00100459,0.00100459,0.00100459
32,729.293,0.91091,0.71936,1.99649,0.98467,0.97635,0.99467,0.98019,0.45291,0.29266,1.73238,0.00099044,0.00099044,0.00099044
33,752.787,0.90256,0.79772,1.98092,0.99138,0.9759,0.99467,0.98016,0.44223,0.31534,1.74585,0.000976293,0.000976293,0.000976293
34,778.619,0.91604,0.76444,1.99817,0.9942,0.95094,0.99279,0.97146,0.48733,0.37581,1.71522,0.000962146,0.000962146,0.000962146
35,802.48,0.91047,0.76429,1.98424,0.96153,0.96552,0.9929,0.98515,0.3931,0.34428,1.69678,0.000947999,0.000947999,0.000947999
36,828.281,0.90739,0.73037,1.99446,0.98276,0.99504,0.99467,0.98342,0.4221,0.27237,1.73067,0.000933851,0.000933851,0.000933851
37,852.699,0.90935,0.71692,1.99225,0.99457,0.99267,0.995,0.98012,0.45832,0.27204,1.71702,0.000919704,0.000919704,0.000919704
38,877.545,0.8739,0.68804,1.97007,1,0.9829,0.995,0.9806,0.43098,0.29349,1.75203,0.000905557,0.000905557,0.000905557
39,902.514,0.83723,0.6348,1.96375,0.98795,0.9671,0.99434,0.98799,0.38492,0.27804,1.70877,0.00089141,0.00089141,0.00089141
40,927.093,0.83487,0.69835,1.95559,0.98273,0.99197,0.99467,0.98686,0.39872,0.36348,1.69943,0.000877263,0.000877263,0.000877263
41,951.176,0.87109,0.69324,1.96452,0.96084,0.97557,0.9923,0.9863,0.35477,0.37777,1.67248,0.000863116,0.000863116,0.000863116
42,976.07,0.88633,0.7035,1.96422,0.95596,0.97067,0.99322,0.98084,0.39105,0.4163,1.6945,0.000848969,0.000848969,0.000848969
43,1001.17,0.89437,0.66792,1.97262,0.98096,0.98476,0.99434,0.98956,0.34407,0.24788,1.67785,0.000834822,0.000834822,0.000834822
44,1026.71,0.83243,0.65489,1.9453,0.93934,0.98413,0.99116,0.97654,0.49061,0.37169,1.75428,0.000820675,0.000820675,0.000820675
45,1050.5,0.83338,0.63403,1.95907,0.99221,0.95431,0.99344,0.9865,0.39445,0.26818,1.70294,0.000806528,0.000806528,0.000806528
46,1075.92,0.83046,0.62971,1.95281,0.98261,0.99418,0.995,0.98767,0.36154,0.24041,1.68223,0.00079238,0.00079238,0.00079238
47,1100.45,0.84662,0.63518,1.95931,0.99727,0.98541,0.99467,0.98359,0.4008,0.24411,1.69681,0.000778233,0.000778233,0.000778233
48,1125.98,0.7913,0.61591,1.94255,0.99167,0.99731,0.995,0.98501,0.38164,0.25864,1.70601,0.000764086,0.000764086,0.000764086
49,1150.73,0.80074,0.63034,1.94521,0.99523,1,0.995,0.98894,0.34525,0.21908,1.67746,0.000749939,0.000749939,0.000749939
50,1176.35,0.81027,0.66056,1.95096,0.99396,0.97701,0.99433,0.99028,0.34786,0.23857,1.67913,0.000735792,0.000735792,0.000735792
51,1200.7,0.82847,0.62559,1.95696,0.98043,0.98889,0.98853,0.98099,0.37971,0.33973,1.69995,0.000721645,0.000721645,0.000721645
52,1225.59,0.79204,0.6426,1.93616,0.99528,0.99818,0.995,0.98893,0.34419,0.21627,1.6768,0.000707498,0.000707498,0.000707498
53,1250.01,0.78014,0.57188,1.92224,0.99383,0.95741,0.995,0.98889,0.32673,0.25919,1.67543,0.000693351,0.000693351,0.000693351
54,1274.99,0.79725,0.57929,1.93023,0.99599,1,0.995,0.98976,0.33595,0.19716,1.66483,0.000679204,0.000679204,0.000679204
55,1299.11,0.82242,0.59333,1.93263,0.99752,0.998,0.995,0.98931,0.3291,0.2067,1.66238,0.000665057,0.000665057,0.000665057
56,1324.56,0.818,0.59848,1.94256,0.99695,0.99176,0.995,0.98943,0.35685,0.20667,1.6711,0.000650909,0.000650909,0.000650909
57,1349.36,0.7629,0.55747,1.92933,0.99433,0.98671,0.99467,0.99011,0.34503,0.22153,1.68407,0.000636762,0.000636762,0.000636762
58,1375.17,0.74979,0.55149,1.91028,0.98768,0.99343,0.995,0.99099,0.35485,0.22823,1.66705,0.000622615,0.000622615,0.000622615
59,1399.55,0.76861,0.53808,1.92943,0.99042,0.99858,0.995,0.99248,0.31337,0.1906,1.65574,0.000608468,0.000608468,0.000608468
60,1425.36,0.78603,0.53879,1.95942,0.99767,0.98851,0.99467,0.99119,0.29618,0.21313,1.65064,0.000594321,0.000594321,0.000594321
61,1450,0.75797,0.5683,1.92015,0.9959,0.99011,0.995,0.99069,0.30768,0.21709,1.66486,0.000580174,0.000580174,0.000580174
62,1475.58,0.77624,0.55929,1.93442,0.99675,1,0.995,0.98938,0.34452,0.21656,1.65886,0.000566027,0.000566027,0.000566027
